timestamp,phase,gpu_temp_c,gpu_power_w,gpu_util_pct,cpu_temp_c,nvme_temp_c
1776359858,prefill_heavy,72,44.56,75,77,52
1776359859,prefill_heavy,71,43.98,95,77,52
1776359860,prefill_heavy,71,45.49,76,77,52
1776359861,prefill_heavy,70,43.85,95,77,52
1776359862,prefill_heavy,71,44.54,90,77,52
1776359863,prefill_heavy,72,45.26,95,77,52
1776359865,prefill_heavy,71,45.30,79,77,52
1776359866,prefill_heavy,71,44.85,79,77,52
1776359867,prefill_heavy,71,44.75,75,77,52
1776359868,prefill_heavy,72,44.96,78,77,52
1776359869,prefill_heavy,70,45.06,95,77,52
1776359870,prefill_heavy,71,44.81,94,77,52
1776359872,prefill_heavy,71,44.78,77,76,52
1776359873,prefill_heavy,70,45.07,79,77,52
1776359874,prefill_heavy,71,43.43,79,77,52
1776359875,prefill_heavy,70,44.74,80,77,52
1776359876,prefill_heavy,68,43.87,79,76,52
1776359878,prefill_heavy,71,43.92,78,76,52
1776359879,prefill_heavy,70,44.54,87,76,52
1776359880,prefill_heavy,70,44.53,78,76,52
1776359881,prefill_heavy,72,44.42,81,76,52
1776359882,prefill_heavy,71,43.76,79,76,52
1776359883,prefill_heavy,71,43.34,78,76,52
1776359885,prefill_heavy,71,43.84,95,76,52
1776359886,prefill_heavy,71,44.90,95,76,52
1776359887,prefill_heavy,70,44.01,78,76,52
1776359888,prefill_heavy,71,44.49,80,76,52
1776359889,prefill_heavy,71,43.86,77,77,52
1776359891,prefill_heavy,68,44.49,94,76,52
1776359892,prefill_heavy,70,44.52,95,76,52
1776359893,prefill_heavy,71,42.93,95,76,52
1776359894,prefill_heavy,70,45.37,77,76,52
1776359895,prefill_heavy,71,46.28,84,77,52
1776359896,prefill_heavy,71,44.17,77,76,52
1776359898,prefill_heavy,71,45.47,78,76,52
1776359899,prefill_heavy,72,44.58,83,77,52
1776359900,prefill_heavy,70,43.94,95,77,52
1776359901,prefill_heavy,70,44.82,80,77,52
1776359902,prefill_heavy,71,44.91,81,77,52
1776359903,prefill_heavy,71,44.51,76,76,52
1776359905,prefill_heavy,70,44.74,77,77,52
1776359906,prefill_heavy,72,44.38,82,76,52
